# HOMER Peaks
# Peak finding parameters:
# tag directory = /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_forHomer_HomerTags
#
# total peaks = 20447
# peak size = 1000
# peaks found using tags on both strands
# minimum distance between peaks = 2500
# fragment length = 170
# genome size = 2000000000
# Total tags = 34851833.0
# Total tags in peaks = 6020541.0
# Approximate IP efficiency = 17.27%
# tags per bp = 0.016404
# expected tags per peak = 16.404
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 8.506879e-06
# FDR tag threshold = 37.0
# number of putative peaks = 291816
#
# input tag directory = /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_Vs_Sorted_Input_Limb_forHomer_HomerTags
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1883
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = /ru-auth/local/home/tcarroll/Homer//bin/findPeaks /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_forHomer_HomerTags -i /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_Vs_Sorted_Input_Limb_forHomer_HomerTags -region -size 1000 -minDist 2500 -o /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/Peaks//HOMER/H3K27Ac_Limb_1/_H3K27Ac_Limb_1__Input_Limb_Homer/_H3K27Ac_Limb_1__Input_Limb_homer.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
chr10-4236	chr10	59949966	59954052	+	180.8	4086.000	68.000000	630.0	77.6	8.11	0.00e+00	0.90
chr13-5120	chr13	23619917	23623830	+	180.8	3913.000	56.000000	630.0	60.0	10.50	0.00e+00	0.92
chr14-3005	chr14	25040717	25046205	+	180.8	5488.000	70.000000	630.0	100.6	6.26	1.52e-274	0.95
chr15-2442	chr15	78875895	78879174	+	180.8	3279.000	94.000000	630.0	55.9	11.28	0.00e+00	0.90
chr1-4770	chr1	61139165	61147771	+	180.5	8606.000	71.000000	629.0	125.9	5.00	1.96e-223	0.96
chr3-2636	chr3	96597077	96602631	+	180.5	5554.000	97.000000	629.0	110.0	5.72	2.15e-253	0.95
chr3-1544	chr3	97226342	97228918	+	180.5	2576.000	143.000000	629.0	44.7	14.07	0.00e+00	0.90
chr6-7932	chr6	100285929	100288942	+	180.5	3013.000	52.000000	629.0	45.3	13.89	0.00e+00	0.91
chr7-2553	chr7	38105964	38109286	+	180.5	3322.000	127.000000	629.0	62.3	10.09	0.00e+00	0.95
chr7-18264	chr7	114414065	114416976	+	180.5	2911.000	37.000000	629.0	40.0	15.73	0.00e+00	0.90
chr14-1160	chr14	30547831	30550863	+	180.5	3032.000	138.000000	629.0	54.7	11.50	0.00e+00	0.91
chr17-1666	chr17	15704119	15706965	+	180.5	2846.000	135.000000	629.0	40.6	15.50	0.00e+00	0.89
chr2-4854	chr2	32874711	32877791	+	180.2	3080.000	95.000000	628.0	71.2	8.82	0.00e+00	0.90
chr5-9565	chr5	27789999	27793222	+	180.2	3223.000	48.000000	628.0	50.6	12.42	0.00e+00	0.91
chr8-2649	chr8	126583120	126586213	+	180.2	3093.000	104.000000	628.0	40.6	15.47	0.00e+00	0.88
chr10-4671	chr10	18021413	18023985	+	180.2	2572.000	63.000000	628.0	35.9	17.50	0.00e+00	0.86
chr13-4952	chr13	5859921	5863901	+	180.2	3980.000	57.000000	628.0	54.7	11.48	0.00e+00	0.93
chr13-7153	chr13	107020823	107023449	+	180.2	2626.000	47.000000	628.0	40.0	15.70	0.00e+00	0.87
chr14-5344	chr14	70633404	70637788	+	180.2	4384.000	50.000000	628.0	79.4	7.91	0.00e+00	0.94
chr3-5427	chr3	35931389	35934246	+	179.9	2857.000	57.000000	627.0	39.4	15.91	0.00e+00	0.85
chr3-2571	chr3	88295306	88298565	+	179.9	3259.000	99.000000	627.0	64.1	9.78	0.00e+00	0.91
chr7-10070	chr7	122065684	122068619	+	179.9	2935.000	50.000000	627.0	50.6	12.40	0.00e+00	0.88
chr9-4382	chr9	107575881	107582007	+	179.9	6126.000	78.000000	627.0	113.5	5.52	8.26e-245	0.92
chr13-4835	chr13	35740119	35743081	+	179.9	2962.000	58.000000	627.0	41.2	15.23	0.00e+00	0.87
chr18-4797	chr18	74999747	75002086	+	179.9	2339.000	50.000000	627.0	33.5	18.70	0.00e+00	0.86
chr19-1310	chr19	40893863	40895940	+	179.9	2077.000	111.000000	627.0	34.7	18.07	0.00e+00	0.83
chr1-5217	chr1	59669543	59671929	+	179.6	2386.000	67.000000	626.0	45.3	13.82	0.00e+00	0.87
chr4-7894	chr4	132958330	132965428	+	179.6	7098.000	61.000000	626.0	133.5	4.69	1.27e-208	0.92
chr5-3035	chr5	100428098	100430916	+	179.6	2818.000	106.000000	626.0	50.0	12.52	0.00e+00	0.89
chr5-10735	chr5	135932968	135936175	+	179.6	3207.000	46.000000	626.0	60.0	10.43	0.00e+00	0.90
chr13-2594	chr13	103772886	103775688	+	179.6	2802.000	89.000000	626.0	42.9	14.58	0.00e+00	0.86
chr14-2382	chr14	64439277	64441833	+	179.6	2556.000	83.000000	626.0	48.2	12.98	0.00e+00	0.88
chr5-4139	chr5	124861369	124864481	+	179.3	3112.000	84.000000	625.0	57.6	10.84	0.00e+00	0.89
chr6-3466	chr6	30508007	30511340	+	179.3	3333.000	88.000000	625.0	52.3	11.94	0.00e+00	0.89
chr11-6319	chr11	63918598	63924360	+	179.3	5762.000	81.000000	625.0	101.2	6.18	3.07e-269	0.95
chr6-6988	chr6	126751218	126757357	+	179.0	6139.000	56.000000	624.0	88.8	7.03	2.20e-298	1.02
chr10-4420	chr10	69350944	69353757	+	179.0	2813.000	66.000000	624.0	52.9	11.79	0.00e+00	0.86
chr11-23582	chr11	3534142	3540219	+	179.0	6077.000	37.000000	624.0	100.6	6.20	8.96e-270	0.91
chr15-3369	chr15	101223440	101229333	+	179.0	5893.000	74.000000	624.0	96.5	6.47	2.57e-279	0.93
chr19-3067	chr19	57359791	57362423	+	179.0	2632.000	60.000000	624.0	48.8	12.78	0.00e+00	0.91
chr4-7590	chr4	55348614	55351401	+	178.8	2787.000	62.000000	623.0	34.7	17.95	0.00e+00	0.90
chr4-3552	chr4	136051966	136054031	+	178.8	2065.000	101.000000	623.0	39.4	15.81	0.00e+00	0.85
chr5-12189	chr5	108460485	108463201	+	178.8	2716.000	43.000000	623.0	51.2	12.18	0.00e+00	0.87
chr5-5007	chr5	115010076	115012681	+	178.8	2605.000	73.000000	623.0	50.0	12.46	0.00e+00	0.86
chr5-3525	chr5	115520050	115526276	+	178.8	6226.000	95.000000	623.0	121.7	5.12	1.82e-226	0.96
chr7-12582	chr7	89979134	89982292	+	178.8	3158.000	44.000000	623.0	47.6	13.08	0.00e+00	0.87
chr11-10361	chr11	116432795	116436158	+	178.8	3363.000	58.000000	623.0	44.7	13.94	0.00e+00	0.89
chr14-8737	chr14	30714372	30717226	+	178.8	2854.000	39.000000	623.0	42.9	14.51	0.00e+00	0.91
chr16-3183	chr16	32510735	32517743	+	178.8	7008.000	62.000000	623.0	117.6	5.30	5.46e-234	0.98
chr2-6778	chr2	118518364	118522492	+	178.5	4128.000	76.000000	622.0	61.8	10.07	0.00e+00	0.91
chr2-8507	chr2	165856387	165860493	+	178.5	4106.000	66.000000	622.0	77.6	8.01	0.00e+00	0.92
chr4-7495	chr4	136834231	136837602	+	178.5	3371.000	63.000000	622.0	64.7	9.61	0.00e+00	0.88
chr7-4297	chr7	44814942	44817789	+	178.5	2847.000	89.000000	622.0	55.3	11.25	0.00e+00	0.88
chr7-7252	chr7	81128606	81135895	+	178.5	7289.000	61.000000	622.0	137.6	4.52	1.61e-199	0.99
chr19-1872	chr19	7038628	7041718	+	178.5	3090.000	84.000000	622.0	55.3	11.25	0.00e+00	0.93
chr5-6026	chr5	74171733	74177438	+	178.2	5705.000	64.000000	621.0	102.3	6.07	1.80e-263	0.99
chr9-9832	chr9	41609590	41615326	+	178.2	5736.000	46.000000	621.0	108.2	5.74	5.97e-251	0.95
chr9-5751	chr9	49960283	49964898	+	178.2	4615.000	64.000000	621.0	81.2	7.65	8.25e-317	0.93
chr11-10265	chr11	95711923	95714468	+	178.2	2545.000	58.000000	621.0	46.5	13.37	0.00e+00	0.86
chr14-6318	chr14	20544980	20547170	+	178.2	2190.000	45.000000	621.0	34.1	18.20	0.00e+00	0.84
chr15-2255	chr15	10632603	10636593	+	178.2	3990.000	99.000000	621.0	66.5	9.34	0.00e+00	0.94
chr16-2340	chr16	74409734	74413779	+	178.2	4045.000	76.000000	621.0	60.0	10.35	0.00e+00	0.90
chrX-2080	chrX	74243708	74250530	+	178.2	6822.000	52.000000	621.0	84.7	7.33	7.32e-307	0.99
chr4-1752	chr4	128726698	128730237	+	177.9	3539.000	158.000000	620.0	58.2	10.65	0.00e+00	0.94
chr4-6538	chr4	129188067	129191316	+	177.9	3249.000	68.000000	620.0	36.5	17.00	0.00e+00	0.94
chr6-5626	chr6	114873316	114876933	+	177.9	3617.000	64.000000	620.0	62.9	9.85	0.00e+00	0.89
chr7-4931	chr7	110295839	110298948	+	177.9	3109.000	81.000000	620.0	67.6	9.17	0.00e+00	0.90
chr9-6409	chr9	114525044	114532487	+	177.9	7443.000	60.000000	620.0	128.8	4.81	3.17e-212	0.93
chr10-3015	chr10	43721463	43725349	+	177.9	3886.000	87.000000	620.0	61.8	10.04	0.00e+00	0.87
chr10-2574	chr10	121474482	121478233	+	177.9	3751.000	99.000000	620.0	67.6	9.17	0.00e+00	0.92
chr11-7659	chr11	88688500	88696145	+	177.9	7645.000	71.000000	620.0	128.2	4.84	3.34e-213	0.94
chr4-7281	chr4	130044710	130048997	+	177.6	4287.000	64.000000	619.0	64.1	9.66	0.00e+00	0.97
chr4-10852	chr4	134466745	134469858	+	177.6	3113.000	51.000000	619.0	51.8	11.96	0.00e+00	0.91
chr5-16870	chr5	24319142	24323651	+	177.6	4509.000	37.000000	619.0	77.6	7.97	0.00e+00	0.93
chr8-13602	chr8	95805846	95808845	+	177.6	2999.000	40.000000	619.0	44.7	13.85	0.00e+00	0.87
chr11-6329	chr11	76444355	76451245	+	177.6	6890.000	81.000000	619.0	127.0	4.87	1.74e-214	0.96
chr16-5762	chr16	85171376	85174233	+	177.6	2857.000	45.000000	619.0	45.3	13.67	0.00e+00	0.86
chr17-7063	chr17	13758664	13762326	+	177.6	3662.000	50.000000	619.0	52.3	11.83	0.00e+00	0.90
chr17-10777	chr17	74992429	74996353	+	177.6	3924.000	41.000000	619.0	60.6	10.22	0.00e+00	0.91
chr1-3702	chr1	133407667	133414434	+	177.3	6767.000	84.000000	618.0	121.7	5.08	6.31e-223	0.95
chr3-5742	chr3	38883520	38887352	+	177.3	3832.000	55.000000	618.0	58.8	10.51	0.00e+00	0.91
chr7-8323	chr7	102248608	102251658	+	177.3	3050.000	56.000000	618.0	50.6	12.22	0.00e+00	0.89
chr10-8883	chr10	110744050	110746909	+	177.3	2859.000	44.000000	618.0	40.6	15.23	0.00e+00	0.89
chr11-5813	chr11	120948152	120952327	+	177.3	4175.000	87.000000	618.0	78.8	7.84	4.91e-321	0.94
chr16-3515	chr16	11065064	11067921	+	177.3	2857.000	58.000000	618.0	50.6	12.22	0.00e+00	0.89
chr16-3732	chr16	21307781	21313163	+	177.3	5382.000	56.000000	618.0	91.8	6.74	7.63e-286	0.93
chr1-2796	chr1	165633356	165636470	+	177.0	3114.000	102.000000	617.0	55.3	11.16	0.00e+00	0.93
chr3-4647	chr3	101159750	101164422	+	177.0	4672.000	64.000000	617.0	84.1	7.34	5.12e-305	0.91
chr5-17612	chr5	121544383	121547250	+	177.0	2867.000	37.000000	617.0	56.5	10.93	0.00e+00	0.88
chr7-9287	chr7	45457911	45462037	+	177.0	4126.000	52.000000	617.0	65.9	9.37	0.00e+00	0.96
chr13-4942	chr13	108042866	108045668	+	177.0	2802.000	58.000000	617.0	50.0	12.34	0.00e+00	0.88
chr18-7018	chr18	34219889	34222719	+	177.0	2830.000	41.000000	617.0	42.9	14.37	0.00e+00	0.87
chr1-6616	chr1	34841411	34844201	+	176.7	2790.000	58.000000	616.0	41.8	14.75	0.00e+00	0.85
chr7-7866	chr7	107688759	107694259	+	176.7	5500.000	58.000000	616.0	85.9	7.17	2.32e-299	0.92
chr11-9892	chr11	26209166	26211724	+	176.7	2558.000	59.000000	616.0	39.4	15.63	0.00e+00	0.87
chr16-4125	chr16	18287306	18290420	+	176.7	3114.000	53.000000	616.0	47.6	12.93	0.00e+00	0.86
chr16-5234	chr16	36070088	36072965	+	176.7	2877.000	47.000000	616.0	52.3	11.77	0.00e+00	0.87
chr17-6320	chr17	47972884	47977293	+	176.7	4409.000	54.000000	616.0	74.1	8.31	0.00e+00	0.89
chr1-11356	chr1	85893399	85896740	+	176.5	3341.000	44.000000	615.0	62.9	9.77	0.00e+00	0.91
chr2-8724	chr2	158027247	158030094	+	176.5	2847.000	65.000000	615.0	48.2	12.75	0.00e+00	0.88
chr5-5156	chr5	24747074	24753373	+	176.5	6299.000	71.000000	615.0	105.9	5.81	2.94e-251	0.94
chr7-3259	chr7	100492441	100497322	+	176.5	4881.000	108.000000	615.0	92.9	6.62	1.81e-280	0.96
chr10-11254	chr10	71343628	71349321	+	176.5	5693.000	39.000000	615.0	90.6	6.79	2.69e-286	0.99
chr11-12466	chr11	119298347	119301397	+	176.5	3050.000	52.000000	615.0	53.5	11.49	0.00e+00	0.85
chr13-1020	chr13	98315881	98318270	+	176.5	2389.000	165.000000	615.0	38.8	15.84	0.00e+00	0.93
chr15-7973	chr15	61983508	61988721	+	176.5	5213.000	44.000000	615.0	84.7	7.26	1.11e-301	0.96
chr4-10913	chr4	141535705	141539691	+	176.2	3986.000	51.000000	614.0	61.2	10.04	0.00e+00	0.95
chr4-13585	chr4	155991216	155994199	+	176.2	2983.000	46.000000	614.0	52.3	11.73	0.00e+00	0.88
chr8-4470	chr8	84975665	84981981	+	176.2	6316.000	73.000000	614.0	118.8	5.17	2.36e-225	0.95
chr9-2812	chr9	43238619	43242067	+	176.2	3448.000	107.000000	614.0	74.7	8.22	0.00e+00	0.92
chr9-5088	chr9	85841808	85844899	+	176.2	3091.000	70.000000	614.0	51.8	11.86	0.00e+00	0.91
chr11-11799	chr11	58007562	58010933	+	176.2	3371.000	53.000000	614.0	48.2	12.73	0.00e+00	0.89
chr13-2234	chr13	46928565	46931364	+	176.2	2799.000	98.000000	614.0	50.0	12.28	0.00e+00	0.87
chr16-2517	chr16	18551295	18557145	+	176.2	5850.000	72.000000	614.0	113.5	5.41	3.26e-235	0.93
chr1-6850	chr1	64615933	64618537	+	175.9	2604.000	57.000000	613.0	46.5	13.19	0.00e+00	0.85
chr2-12200	chr2	130663077	130668811	+	175.9	5734.000	53.000000	613.0	91.2	6.72	3.64e-283	0.93
chr2-4974	chr2	166185839	166193056	+	175.9	7217.000	94.000000	613.0	117.0	5.24	7.37e-228	0.93
chr4-3961	chr4	155248875	155251707	+	175.9	2832.000	94.000000	613.0	50.0	12.26	0.00e+00	0.86
chr5-3615	chr5	38560339	38563207	+	175.9	2868.000	93.000000	613.0	54.7	11.21	0.00e+00	0.89
chr10-2798	chr10	120706615	120710561	+	175.9	3946.000	93.000000	613.0	77.6	7.90	4.60e-320	0.92
chr11-7796	chr11	85915600	85919796	+	175.9	4196.000	70.000000	613.0	68.8	8.91	0.00e+00	0.94
chr12-11572	chr12	65072564	65076765	+	175.9	4201.000	37.000000	613.0	60.6	10.12	0.00e+00	0.93
chr18-3478	chr18	38378171	38381801	+	175.9	3630.000	60.000000	613.0	62.3	9.83	0.00e+00	0.94
chr2-14009	chr2	60208902	60211375	+	175.6	2473.000	49.000000	612.0	29.4	20.81	0.00e+00	0.87
chr4-7112	chr4	135270813	135273433	+	175.6	2620.000	65.000000	612.0	52.9	11.56	0.00e+00	0.90
chr6-6230	chr6	119106674	119109880	+	175.6	3206.000	60.000000	612.0	47.6	12.85	0.00e+00	0.89
chr8-4869	chr8	84845364	84848788	+	175.6	3424.000	69.000000	612.0	61.8	9.91	0.00e+00	0.87
chr10-1990	chr10	59963800	59967334	+	175.6	3534.000	119.000000	612.0	57.0	10.73	0.00e+00	0.93
chr15-3563	chr15	81856954	81861107	+	175.6	4153.000	71.000000	612.0	72.9	8.39	0.00e+00	0.90
chr17-6140	chr17	74337357	74340175	+	175.6	2818.000	55.000000	612.0	40.0	15.30	0.00e+00	0.90
chr19-7291	chr19	5472953	5476374	+	175.6	3421.000	37.000000	612.0	63.5	9.63	0.00e+00	0.88
chr1-16452	chr1	66815309	66818442	+	175.3	3133.000	37.000000	611.0	47.6	12.83	0.00e+00	0.90
chr5-8354	chr5	88674495	88676752	+	175.3	2257.000	52.000000	611.0	36.5	16.76	0.00e+00	0.84
chr7-5898	chr7	123096380	123100024	+	175.3	3644.000	71.000000	611.0	61.2	9.99	0.00e+00	0.88
chr8-5191	chr8	110718078	110723100	+	175.3	5022.000	67.000000	611.0	87.6	6.97	1.86e-290	0.98
chr9-4821	chr9	120126667	120129544	+	175.3	2877.000	73.000000	611.0	56.5	10.82	0.00e+00	0.92
chr10-2875	chr10	95562657	95566401	+	175.3	3744.000	91.000000	611.0	64.1	9.53	0.00e+00	0.96
chr18-3492	chr18	61663580	61667284	+	175.3	3704.000	60.000000	611.0	65.3	9.36	0.00e+00	0.88
chr4-3313	chr4	34549995	34552308	+	175.0	2313.000	105.000000	610.0	40.0	15.25	0.00e+00	0.85
chr11-8765	chr11	35118461	35122765	+	175.0	4304.000	64.000000	610.0	68.2	8.94	0.00e+00	1.00
chr11-8458	chr11	87985985	87988820	+	175.0	2835.000	66.000000	610.0	48.8	12.50	0.00e+00	0.89
chr4-7196	chr4	33923069	33925688	+	174.7	2619.000	64.000000	609.0	44.7	13.62	0.00e+00	0.87
chr5-10040	chr5	74092361	74095177	+	174.7	2816.000	47.000000	609.0	46.5	13.11	0.00e+00	0.90
chr5-8982	chr5	96995841	96999025	+	174.7	3184.000	50.000000	609.0	45.3	13.45	0.00e+00	0.89
chr6-5437	chr6	38531946	38535890	+	174.7	3944.000	65.000000	609.0	70.0	8.70	0.00e+00	0.93
chr8-14910	chr8	22475363	22478456	+	174.7	3093.000	38.000000	609.0	44.1	13.81	0.00e+00	0.85
chr9-9621	chr9	75070157	75072584	+	174.7	2427.000	47.000000	609.0	37.6	16.18	0.00e+00	0.85
chr15-3948	chr15	77902753	77908934	+	174.7	6181.000	66.000000	609.0	105.3	5.78	6.68e-248	0.97
chr8-10030	chr8	77721786	77725494	+	174.5	3708.000	46.000000	608.0	47.6	12.76	0.00e+00	0.90
chr11-8497	chr11	100711234	100715026	+	174.5	3792.000	66.000000	608.0	53.5	11.36	0.00e+00	0.97
chr12-2873	chr12	8498321	8501404	+	174.5	3083.000	77.000000	608.0	58.2	10.44	0.00e+00	0.89
chr16-2300	chr16	90282912	90285812	+	174.5	2900.000	77.000000	608.0	50.0	12.16	0.00e+00	0.89
chr2-5599	chr2	24918091	24920481	+	174.2	2390.000	86.000000	607.0	41.2	14.74	0.00e+00	0.84
chr4-8985	chr4	63579094	63585090	+	174.2	5996.000	56.000000	607.0	89.4	6.79	1.35e-282	0.93
chr4-18124	chr4	137464936	137472083	+	174.2	7147.000	40.000000	607.0	110.0	5.52	6.85e-237	0.91
chr6-3860	chr6	117916141	117918959	+	174.2	2818.000	82.000000	607.0	49.4	12.29	0.00e+00	0.89
chr9-7700	chr9	58553610	58556226	+	174.2	2616.000	53.000000	607.0	45.9	13.23	0.00e+00	0.89
chr10-3134	chr10	128803173	128806717	+	174.2	3544.000	85.000000	607.0	64.1	9.47	0.00e+00	0.92
chr11-9240	chr11	69979462	69982453	+	174.2	2991.000	62.000000	607.0	55.3	10.98	0.00e+00	0.88
chr15-3142	chr15	93594319	93597127	+	174.2	2808.000	78.000000	607.0	42.3	14.33	0.00e+00	0.87
chr18-2903	chr18	38248652	38251463	+	174.2	2811.000	68.000000	607.0	61.2	9.92	0.00e+00	0.87
chr19-2013	chr19	37375008	37377786	+	174.2	2778.000	80.000000	607.0	42.9	14.14	0.00e+00	0.89
chr1-5305	chr1	182516183	182522134	+	173.9	5951.000	67.000000	606.0	90.0	6.73	2.70e-280	0.99
chr2-7381	chr2	145880168	145886341	+	173.9	6173.000	72.000000	606.0	115.9	5.23	5.48e-225	0.96
chr4-3428	chr4	106091065	106097777	+	173.9	6712.000	103.000000	606.0	135.9	4.46	9.44e-192	0.91
chr4-12749	chr4	133437526	133444281	+	173.9	6755.000	47.000000	606.0	113.5	5.34	2.29e-229	0.96
chr5-11014	chr5	107899792	107902174	+	173.9	2382.000	45.000000	606.0	33.5	18.08	0.00e+00	0.86
chr5-5151	chr5	149634858	149638136	+	173.9	3278.000	72.000000	606.0	61.8	9.81	0.00e+00	0.91
chr8-5919	chr8	4257301	4260347	+	173.9	3046.000	61.000000	606.0	51.8	11.71	0.00e+00	0.89
chr14-3283	chr14	34309446	34313412	+	173.9	3966.000	66.000000	606.0	50.0	12.12	0.00e+00	0.94
chr17-2246	chr17	56761277	56766165	+	173.9	4888.000	110.000000	606.0	86.5	7.01	2.71e-289	0.96
chr1-4677	chr1	74039816	74043975	+	173.6	4159.000	72.000000	605.0	78.2	7.73	3.56e-311	0.90
chr2-5248	chr2	32624308	32630083	+	173.6	5775.000	90.000000	605.0	113.5	5.33	1.22e-228	0.94
chr3-3420	chr3	108165030	108169857	+	173.6	4827.000	80.000000	605.0	94.7	6.39	4.10e-268	0.93
chr4-14195	chr4	31819138	31827161	+	173.6	8023.000	44.000000	605.0	106.5	5.68	1.90e-242	0.95
chr6-2442	chr6	91682732	91686074	+	173.6	3342.000	114.000000	605.0	65.3	9.27	0.00e+00	0.93
chr11-8564	chr11	8662657	8665479	+	173.6	2822.000	65.000000	605.0	42.9	14.09	0.00e+00	0.87
chr14-8566	chr14	14701966	14704710	+	173.6	2744.000	39.000000	605.0	35.9	16.86	0.00e+00	0.86
chr17-5625	chr17	57029892	57033263	+	173.6	3371.000	58.000000	605.0	57.0	10.60	0.00e+00	0.92
chr1-12418	chr1	59911791	59914380	+	173.3	2589.000	42.000000	604.0	35.3	17.12	0.00e+00	0.86
chr6-6285	chr6	29432511	29437358	+	173.3	4847.000	59.000000	604.0	77.6	7.78	5.19e-312	0.93
chr7-4917	chr7	92873445	92877424	+	173.3	3979.000	81.000000	604.0	60.0	10.07	0.00e+00	0.92
chr10-7307	chr10	31607759	31610530	+	173.3	2771.000	48.000000	604.0	38.2	15.80	0.00e+00	0.87
chr13-3632	chr13	23682151	23686782	+	173.3	4631.000	70.000000	604.0	55.9	10.81	0.00e+00	1.03
chr18-3344	chr18	75461185	75466321	+	173.3	5136.000	62.000000	604.0	82.3	7.34	1.29e-298	0.97
chr5-6515	chr5	77485752	77490460	+	173.0	4708.000	61.000000	603.0	76.5	7.89	1.31e-314	0.93
chr5-13664	chr5	115325943	115328820	+	173.0	2877.000	41.000000	603.0	48.8	12.35	0.00e+00	0.86
chr7-7631	chr7	92668094	92671183	+	173.0	3089.000	59.000000	603.0	48.8	12.35	0.00e+00	0.89
chr10-4902	chr10	45779113	45786940	+	173.0	7827.000	61.000000	603.0	107.0	5.63	9.48e-240	0.96
chr10-5128	chr10	120870248	120875913	+	173.0	5665.000	60.000000	603.0	86.5	6.97	9.29e-287	0.94
chr14-1596	chr14	54893410	54896022	+	173.0	2612.000	109.000000	603.0	45.3	13.32	0.00e+00	0.87
chr1-15734	chr1	93800535	93804962	+	172.7	4427.000	38.000000	602.0	72.3	8.32	0.00e+00	0.95
chr5-4980	chr5	45855893	45858489	+	172.7	2596.000	73.000000	602.0	36.5	16.51	0.00e+00	0.86
chr7-5251	chr7	99380018	99385079	+	172.7	5061.000	77.000000	602.0	98.8	6.09	2.34e-256	0.95
chr8-5951	chr8	41546519	41554140	+	172.7	7621.000	61.000000	602.0	106.5	5.66	3.48e-240	1.03
chr9-5692	chr9	108782625	108785634	+	172.7	3009.000	65.000000	602.0	52.9	11.37	0.00e+00	0.93
chr16-2788	chr16	20671897	20674763	+	172.7	2866.000	67.000000	602.0	50.0	12.04	0.00e+00	0.87
chr6-6088	chr6	140423095	140425799	+	172.4	2704.000	61.000000	601.0	33.5	17.93	0.00e+00	0.88
chr6-2637	chr6	140622922	140625499	+	172.4	2577.000	108.000000	601.0	44.7	13.45	0.00e+00	0.87
chr9-6438	chr9	9237466	9239928	+	172.4	2462.000	59.000000	601.0	37.6	15.97	0.00e+00	0.89
chr11-6314	chr11	52359570	52362367	+	172.4	2797.000	81.000000	601.0	58.2	10.32	0.00e+00	0.87
chr11-8858	chr11	88549866	88557294	+	172.4	7428.000	64.000000	601.0	128.8	4.67	2.24e-199	0.93
chr13-4077	chr13	24799636	24802770	+	172.4	3134.000	65.000000	601.0	46.5	12.93	0.00e+00	0.89
chr14-6789	chr14	61042826	61047612	+	172.4	4786.000	44.000000	601.0	84.7	7.10	1.09e-289	0.92
chr17-2550	chr17	47830607	47834867	+	172.4	4260.000	100.000000	601.0	102.9	5.84	1.06e-246	0.91
chr18-2492	chr18	83110133	83118293	+	172.4	8160.000	76.000000	601.0	125.9	4.78	3.95e-204	0.94
chr1-8928	chr1	165280526	165283412	+	172.2	2886.000	50.000000	600.0	45.3	13.25	0.00e+00	0.89
chr2-8691	chr2	129197355	129200285	+	172.2	2930.000	65.000000	600.0	50.0	12.00	0.00e+00	0.89
chr4-4064	chr4	139245547	139252902	+	172.2	7355.000	92.000000	600.0	149.4	4.02	5.40e-169	1.04
chr5-5137	chr5	139722506	139726401	+	172.2	3895.000	72.000000	600.0	78.8	7.61	4.83e-305	0.90
chr9-11150	chr9	14274313	14278252	+	172.2	3939.000	43.000000	600.0	70.6	8.50	0.00e+00	0.93
chr13-3388	chr13	51311878	51317105	+	172.2	5227.000	73.000000	600.0	94.1	6.38	1.84e-265	0.97
chr13-3185	chr13	85287816	85290399	+	172.2	2583.000	77.000000	600.0	44.1	13.60	0.00e+00	0.89
chr15-2722	chr15	98628444	98635861	+	172.2	7417.000	87.000000	600.0	115.3	5.20	9.32e-222	0.96
chr17-8225	chr17	87612027	87615124	+	172.2	3097.000	47.000000	600.0	54.7	10.97	0.00e+00	0.86
chr18-2358	chr18	4919945	4925730	+	172.2	5785.000	78.000000	600.0	96.5	6.22	4.78e-260	0.99
chr19-3335	chr19	6949585	6953042	+	172.2	3457.000	56.000000	600.0	59.4	10.10	0.00e+00	0.90
chr1-7209	chr1	172307420	172313361	+	171.9	5941.000	56.000000	599.0	101.2	5.92	6.67e-249	0.97
chr5-14179	chr5	38682853	38685751	+	171.9	2898.000	40.000000	599.0	50.6	11.84	0.00e+00	0.87
chr7-11698	chr7	118114596	118117721	+	171.9	3125.000	46.000000	599.0	48.2	12.42	0.00e+00	0.90
chr11-5831	chr11	51465166	51471470	+	171.9	6304.000	86.000000	599.0	108.8	5.51	2.91e-233	1.01
chr17-5579	chr17	34980481	34983281	+	171.9	2800.000	58.000000	599.0	53.5	11.19	0.00e+00	0.90
chr19-418	chr19	41263040	41265110	+	171.9	2070.000	220.000000	599.0	37.6	15.91	0.00e+00	0.87
